姓名,身份证号,学号,专业班级,C1,C2,C3,C4,C5
薛淑珍,610300XXXXXXXX9069,2023216335,机械工程23-1班,48,27,44,66,D+
萧峰,150726XXXXXXXX2253,2023216336,电信科23-1班,100,81,91,46,D+
郑莹,140311XXXXXXXX240X,2023216337,计算机23-1班,74,37,99,59,D+
王桂香,450323XXXXXXXX6697,2023216338,化工23-2班,79,36,28,87,A-
王慧,630105XXXXXXXX1454,2023216339,英语23-1班,77,39,68,53,A
郝楠,210421XXXXXXXX9570,2023216340,经济23-1班,68,90,75,58,A
夏坤,360926XXXXXXXX8639,2023216341,计算机23-1班,99,94,26,76,B
杨颖,230921XXXXXXXX7377,2023216342,法学23-2班,71,78,19,84,D
吴平,441423XXXXXXXX3615,2023216343,自动化23-1班,89,34,26,63,D+
丛晨,540121XXXXXXXX1764,2023216344,物流管理23-2班,84,36,66,49,D-
胡琳,533323XXXXXXXX6991,2023216345,新能源23-3班,96,79,64,53,D
吴秀珍,510108XXXXXXXX6554,2023216346,新能源23-1班,87,87,23,45,A
刘颖,321302XXXXXXXX6611,2023216347,新媒体23-2班,72,64,86,70,B-
张萍,130402XXXXXXXX2499,2023216348,计算机23-3班,69,47,48,52,B+
何东,620622XXXXXXXX5659,2023216349,土木工程23-1班,91,100,18,90,C-
卢艳,370322XXXXXXXX9876,2023216350,法学23-1班,70,37,40,71,B+
陈浩,510824XXXXXXXX8406,2023216351,机械工程23-1班,92,58,48,95,D+
李斌,331022XXXXXXXX9177,2023216352,经济23-2班,65,60,39,54,D-
吴颖,210102XXXXXXXX4038,2023216353,计算机23-2班,62,36,99,81,A
周东,622927XXXXXXXX4144,2023216354,食品23-2班,54,30,47,37,D
王玉华,430381XXXXXXXX0847,2023216355,城市地下空间23-2班,47,70,73,86,B
胡想,371722XXXXXXXX4406,2023216356,自动化23-1班,58,91,68,100,D
王莹,511424XXXXXXXX2793,2023216357,广告23-2班,79,67,43,41,C+
马瑞,430624XXXXXXXX5466,2023216358,环境23-3班,74,96,76,39,C+
刘瑞,370000XXXXXXXX6379,2023216359,法学23-3班,72,39,60,36,B-
王林,140322XXXXXXXX731X,2023216360,新能源23-1班,63,75,46,51,D
吴磊,654003XXXXXXXX2072,2023216361,电信科23-2班,60,55,26,71,E
李帆,610429XXXXXXXX7028,2023216362,计算机23-1班,93,60,72,77,C+
滕淑华,411401XXXXXXXX9907,2023216363,食品23-3班,70,26,58,66,D
李瑞,340802XXXXXXXX1243,2023216364,化工23-1班,76,59,20,99,E
张冬梅,360922XXXXXXXX5751,2023216365,土木工程23-3班,58,80,88,93,A
陈勇,441402XXXXXXXX3602,2023216366,电信科23-3班,93,25,65,54,D+
林博,450405XXXXXXXX8861,2023216367,经济23-2班,81,94,31,40,C+
汪琴,320405XXXXXXXX304X,2023216368,计算机23-2班,63,43,31,67,A
杨玉兰,371100XXXXXXXX6157,2023216369,化工23-3班,62,56,61,99,A
康坤,450722XXXXXXXX9665,2023216370,城市地下空间23-3班,47,50,54,67,C-
程淑华,451123XXXXXXXX6603,2023216371,机械工程23-2班,97,82,46,75,A
蒋小红,340503XXXXXXXX5691,2023216372,计算机23-2班,66,38,99,57,C-
彭勇,321202XXXXXXXX8167,2023216373,机械工程23-1班,46,75,18,45,C+
王桂芳,310110XXXXXXXX2306,2023216374,物流管理23-3班,98,70,69,85,B+
李超,370702XXXXXXXX2409,2023216375,化工23-3班,85,76,44,93,B
岳丽丽,140622XXXXXXXX5807,2023216376,城市地下空间23-1班,91,54,92,77,B
葛琳,530524XXXXXXXX7198,2023216377,广告23-2班,81,90,40,86,E
杨桂兰,421000XXXXXXXX066X,2023216378,自动化23-1班,95,79,48,96,B+
徐宇,371401XXXXXXXX6911,2023216379,环境23-3班,85,71,94,66,B
王秀兰,620121XXXXXXXX5890,2023216380,新能源23-2班,54,63,50,65,B+
靳文,513331XXXXXXXX1340,2023216381,新媒体23-1班,60,62,57,71,C
湛艳,350981XXXXXXXX4073,2023216382,自动化23-2班,72,58,25,43,B-
刘涛,130125XXXXXXXX5674,2023216383,经济23-1班,94,32,77,41,D-
刘莉,441803XXXXXXXX1102,2023216384,食品23-3班,98,77,90,79,E
林莹,500236XXXXXXXX5000,2023216385,环境23-1班,53,56,61,90,D
毛云,210400XXXXXXXX2394,2023216386,电信科23-1班,56,83,49,84,D-
张林,140702XXXXXXXX4286,2023216387,新能源23-2班,72,64,40,60,D-
金坤,371328XXXXXXXX4926,2023216388,广告23-2班,52,32,95,61,A
谭玉梅,513333XXXXXXXX1502,2023216389,物流管理23-1班,69,83,17,91,C
张帆,622921XXXXXXXX6476,2023216390,食品23-1班,66,34,41,56,C-
杜芳,410223XXXXXXXX4582,2023216391,自动化23-3班,50,84,28,76,D-
王文,632521XXXXXXXX5086,2023216392,环境23-2班,71,78,82,56,B-
陈峰,431027XXXXXXXX083X,2023216393,食品23-2班,94,100,39,80,E
宁峰,320902XXXXXXXX0199,2023216394,英语23-2班,99,95,18,51,D-
杨玲,130400XXXXXXXX6118,2023216395,食品23-2班,74,88,55,72,B+
秦桂芝,321300XXXXXXXX2637,2023216396,新能源23-3班,62,68,79,81,D
萧帅,131022XXXXXXXX7994,2023216397,英语23-3班,87,44,34,63,B-
臧丹,410602XXXXXXXX9078,2023216398,物流管理23-2班,45,49,96,56,A
盛斌,331123XXXXXXXX9382,2023216399,经济23-2班,78,42,36,76,A-
曹艳,513324XXXXXXXX5299,2023216400,化工23-1班,48,92,79,97,B
许晨,410204XXXXXXXX4713,2023216401,城市地下空间23-2班,74,93,27,48,D
顾畅,522300XXXXXXXX5902,2023216402,新能源23-3班,80,88,75,70,B+
马文,140601XXXXXXXX4460,2023216403,广告23-3班,68,68,48,82,C
封秀华,320981XXXXXXXX206X,2023216404,环境23-3班,51,81,30,45,D
毛桂荣,532628XXXXXXXX1806,2023216405,新能源23-3班,60,80,28,84,B-
朱桂芝,371621XXXXXXXX388X,2023216406,法学23-3班,92,79,84,39,E
杨勇,210681XXXXXXXX0105,2023216407,英语23-2班,72,48,86,81,C+
赵红,450902XXXXXXXX3348,2023216408,食品23-1班,88,74,19,88,C
赵玉兰,520425XXXXXXXX0440,2023216409,环境23-2班,90,67,44,99,B+
邢雪,140101XXXXXXXX8141,2023216410,新能源23-1班,79,89,95,94,B+
杨霞,220623XXXXXXXX9286,2023216411,英语23-3班,58,69,32,78,A-
曹娜,150826XXXXXXXX3928,2023216412,广告23-1班,51,31,71,42,B+
任帅,611025XXXXXXXX4670,2023216413,城市地下空间23-1班,84,47,96,48,C-
刘秀芳,451229XXXXXXXX8959,2023216414,食品23-3班,56,63,49,91,A+
刘娟,321003XXXXXXXX6948,2023216415,机械工程23-3班,80,48,24,44,C-
李彬,450226XXXXXXXX7496,2023216416,计算机23-2班,73,63,70,35,B-
胡萍,441223XXXXXXXX8197,2023216417,经济23-3班,73,60,39,72,C
谢华,340222XXXXXXXX2787,2023216418,土木工程23-1班,66,48,40,47,C
杜云,440101XXXXXXXX4714,2023216419,计算机23-1班,73,81,76,61,B-
王想,513424XXXXXXXX3486,2023216420,新媒体23-3班,68,25,72,64,C+
李杨,330108XXXXXXXX1027,2023216421,计算机23-3班,74,91,79,60,B+
王成,411221XXXXXXXX5114,2023216422,英语23-2班,54,31,56,96,A
赵玉珍,320981XXXXXXXX3304,2023216423,化工23-2班,52,37,88,35,D
覃欢,411503XXXXXXXX349X,2023216424,机械工程23-2班,80,35,60,90,D-
周秀芳,230700XXXXXXXX6431,2023216425,广告23-3班,59,54,26,77,E
赵博,370400XXXXXXXX4254,2023216426,新能源23-2班,79,26,68,56,E
王阳,371403XXXXXXXX7938,2023216427,物流管理23-2班,64,28,31,56,C+
董帆,350429XXXXXXXX3749,2023216428,自动化23-2班,96,72,22,77,C+
杨秀珍,211101XXXXXXXX7760,2023216429,城市地下空间23-1班,62,81,94,63,A
任霞,320412XXXXXXXX3225,2023216430,化工23-3班,68,73,57,59,C+
冯建军,371311XXXXXXXX0084,2023216431,广告23-2班,51,86,48,44,B+
张琴,230227XXXXXXXX7190,2023216432,计算机23-1班,88,78,49,91,B-
赵云,621026XXXXXXXX9322,2023216433,自动化23-1班,84,47,18,88,C
赖英,371082XXXXXXXX1130,2023216434,食品23-3班,49,51,42,61,D+
李静,130928XXXXXXXX0559,2023216435,城市地下空间23-1班,98,100,41,91,B
杨玉珍,411122XXXXXXXX6361,2023216436,新能源23-3班,92,62,90,72,A-
黄波,522729XXXXXXXX9624,2023216437,法学23-3班,57,72,61,86,C
罗小红,220821XXXXXXXX4443,2023216438,食品23-1班,80,81,39,40,C+
刘敏,210711XXXXXXXX7119,2023216439,城市地下空间23-2班,98,51,54,49,B
赵林,331000XXXXXXXX211X,2023216440,电信科23-3班,92,66,41,59,A+
廖柳,330901XXXXXXXX6756,2023216441,机械工程23-3班,68,62,92,85,D-
胡丽华,632523XXXXXXXX8079,2023216442,物流管理23-1班,92,62,44,68,D-
贺冬梅,211101XXXXXXXX3209,2023216443,化工23-3班,80,40,32,43,D-
张明,422822XXXXXXXX5429,2023216444,环境23-1班,81,26,68,89,B+
梁春梅,310200XXXXXXXX6556,2023216445,广告23-3班,94,50,90,100,A+
俞秀芳,360803XXXXXXXX6295,2023216446,经济23-1班,61,43,24,76,C+
赵宇,520121XXXXXXXX3227,2023216447,自动化23-3班,78,43,71,95,A
张军,320601XXXXXXXX5595,2023216448,食品23-2班,45,72,51,86,B
朱东,653200XXXXXXXX3739,2023216449,英语23-2班,97,58,32,38,B+
张杰,150424XXXXXXXX5048,2023216450,计算机23-3班,74,39,82,71,C
张成,140411XXXXXXXX2050,2023216451,电信科23-1班,65,80,63,39,C-
韦荣,152531XXXXXXXX8044,2023216452,城市地下空间23-2班,63,64,91,75,B+
潘欣,321012XXXXXXXX8146,2023216453,法学23-1班,91,80,83,63,A+
冯淑华,610927XXXXXXXX6872,2023216454,经济23-3班,73,69,63,80,D
杨帆,511503XXXXXXXX6215,2023216455,物流管理23-2班,62,90,35,60,C-
杨晶,542233XXXXXXXX3611,2023216456,城市地下空间23-1班,72,99,61,38,B+
丁红梅,410603XXXXXXXX1349,2023216457,英语23-3班,86,70,32,42,C
黄慧,522636XXXXXXXX7478,2023216458,自动化23-3班,97,39,68,71,A
张龙,411426XXXXXXXX8896,2023216459,经济23-1班,74,34,56,62,A-
田成,131028XXXXXXXX4133,2023216460,法学23-1班,78,56,33,35,D
徐亮,469023XXXXXXXX7450,2023216461,环境23-2班,100,89,62,100,A
杜凤英,360701XXXXXXXX3607,2023216462,机械工程23-1班,98,37,95,93,D
王畅,370404XXXXXXXX8005,2023216463,物流管理23-1班,97,45,16,95,B-
张红霞,350624XXXXXXXX4331,2023216464,物流管理23-1班,49,84,94,69,C-
李阳,513437XXXXXXXX1078,2023216465,环境23-1班,51,57,96,93,A-
谭丽华,420504XXXXXXXX0666,2023216466,法学23-1班,66,46,32,88,C-
王丽华,653200XXXXXXXX0397,2023216467,土木工程23-3班,91,38,60,86,C-
王兵,341126XXXXXXXX6137,2023216468,机械工程23-2班,47,100,62,53,A
谢帆,421002XXXXXXXX2302,2023216469,新媒体23-3班,52,25,18,99,C+
罗欣,520382XXXXXXXX8176,2023216470,经济23-3班,65,33,74,69,A+
黎建平,420322XXXXXXXX5031,2023216471,经济23-3班,71,58,35,65,A
李琴,440106XXXXXXXX5733,2023216472,新媒体23-3班,72,90,54,83,A+
谢琳,410781XXXXXXXX3111,2023216473,法学23-1班,59,53,36,39,D-
胡瑞,341001XXXXXXXX3518,2023216474,英语23-1班,80,84,19,56,A
萧畅,500104XXXXXXXX2969,2023216475,新媒体23-1班,59,91,94,72,D-
安秀云,431221XXXXXXXX2338,2023216476,化工23-2班,65,52,55,52,A+
关萍,110111XXXXXXXX5299,2023216477,广告23-3班,82,43,20,40,A+
鲁鑫,150622XXXXXXXX3390,2023216478,广告23-1班,64,27,95,93,A
陈丽,630223XXXXXXXX4094,2023216479,物流管理23-1班,70,56,67,100,D
刘佳,371727XXXXXXXX6893,2023216480,英语23-1班,90,27,42,96,D-
张玉英,321100XXXXXXXX4241,2023216481,土木工程23-1班,89,45,31,88,A
张畅,370685XXXXXXXX9330,2023216482,新媒体23-3班,89,57,71,69,D
丁桂芳,653125XXXXXXXX5664,2023216483,物流管理23-3班,84,53,68,40,A+
杨秀云,532529XXXXXXXX1283,2023216484,广告23-3班,85,49,63,50,A-
赵亮,140212XXXXXXXX9452,2023216485,广告23-2班,81,64,38,45,C-
高秀云,533423XXXXXXXX1719,2023216486,经济23-1班,84,75,98,72,B-
余琴,360401XXXXXXXX1559,2023216487,英语23-2班,77,29,49,80,B+
彭佳,371428XXXXXXXX8009,2023216488,新能源23-1班,67,90,27,95,E
王鑫,522327XXXXXXXX7232,2023216489,自动化23-3班,86,78,37,82,D
杨凯,632626XXXXXXXX649X,2023216490,物流管理23-3班,72,51,88,71,B-
陈海燕,341702XXXXXXXX9961,2023216491,化工23-2班,69,53,60,45,C
邹秀荣,330185XXXXXXXX1814,2023216492,自动化23-2班,86,81,42,68,B+
郭龙,330603XXXXXXXX2482,2023216493,计算机23-2班,48,75,94,85,E
韩畅,431126XXXXXXXX092X,2023216494,新能源23-2班,80,89,38,45,B-
谷琴,632600XXXXXXXX3080,2023216495,土木工程23-1班,94,76,77,76,D
陈浩,411626XXXXXXXX8328,2023216496,广告23-1班,94,37,35,42,C-
李洋,220211XXXXXXXX3440,2023216497,经济23-2班,80,54,55,44,D
包桂芳,310116XXXXXXXX7562,2023216498,物流管理23-2班,46,33,66,46,C-
黄岩,331000XXXXXXXX0654,2023216499,经济23-2班,59,30,52,55,E
王英,320703XXXXXXXX0454,2023216500,机械工程23-1班,96,83,42,66,D
胡彬,350421XXXXXXXX0850,2023216501,物流管理23-1班,85,30,64,47,D-
潘丽丽,441225XXXXXXXX1664,2023216502,自动化23-2班,46,64,52,84,C+
周晶,441601XXXXXXXX9602,2023216503,化工23-2班,94,71,83,58,B
李畅,210702XXXXXXXX4107,2023216504,法学23-3班,88,80,81,44,C+
程霞,530111XXXXXXXX8389,2023216505,新媒体23-3班,74,92,20,58,A-
刘洁,520400XXXXXXXX6472,2023216506,经济23-1班,64,65,87,57,C
鹿桂香,140429XXXXXXXX578X,2023216507,计算机23-2班,73,64,43,84,C+
林婷,360103XXXXXXXX6676,2023216508,物流管理23-1班,65,57,27,40,C-
韦涛,230705XXXXXXXX9754,2023216509,食品23-1班,61,76,92,58,D-
金雪梅,130928XXXXXXXX9523,2023216510,化工23-3班,47,45,60,55,B
洪俊,410803XXXXXXXX6486,2023216511,广告23-3班,59,84,66,84,C
温静,321282XXXXXXXX6068,2023216512,经济23-2班,91,50,77,78,B+
顾帆,410506XXXXXXXX3548,2023216513,机械工程23-1班,68,60,43,91,C+
雷想,640106XXXXXXXX6575,2023216514,法学23-1班,71,86,68,75,C+
卢建华,320723XXXXXXXX9645,2023216515,法学23-1班,80,99,18,98,C+
邓丽华,450721XXXXXXXX6204,2023216516,新能源23-3班,78,26,67,38,A+
张楠,540121XXXXXXXX1548,2023216517,法学23-3班,85,55,44,72,C
沈伟,320104XXXXXXXX9531,2023216518,环境23-1班,54,76,15,41,C
潘冬梅,654300XXXXXXXX9852,2023216519,城市地下空间23-2班,63,49,70,42,B-
柯帆,411328XXXXXXXX2977,2023216520,自动化23-2班,58,32,49,50,C-
韩淑英,440881XXXXXXXX0380,2023216521,计算机23-1班,92,66,43,88,D
刘鹏,420902XXXXXXXX1860,2023216522,食品23-2班,98,62,82,57,D+
金玉,410122XXXXXXXX4451,2023216523,自动化23-2班,48,45,15,80,A-
李英,622924XXXXXXXX7852,2023216524,新能源23-2班,66,37,72,85,C
杜桂英,370829XXXXXXXX6636,2023216525,广告23-2班,51,93,41,79,D
张静,510122XXXXXXXX1363,2023216526,英语23-2班,92,85,97,45,C+
胡杰,141000XXXXXXXX7684,2023216527,广告23-3班,81,51,88,48,D
温桂兰,430523XXXXXXXX6620,2023216528,广告23-3班,55,98,62,89,D+
李鹏,131181XXXXXXXX6718,2023216529,城市地下空间23-2班,90,82,35,76,B+
贺建华,610827XXXXXXXX8888,2023216530,经济23-3班,66,55,87,91,B+
李建军,520525XXXXXXXX840X,2023216531,物流管理23-2班,86,54,57,61,D
焦杨,441625XXXXXXXX6466,2023216532,经济23-2班,77,97,28,80,B-
康志强,533102XXXXXXXX9039,2023216533,计算机23-2班,79,66,98,98,B
朱芳,431021XXXXXXXX1732,2023216534,城市地下空间23-3班,100,25,71,77,B
韩林,410522XXXXXXXX1419,2023216535,新媒体23-3班,57,58,65,53,A
李明,420624XXXXXXXX3360,2023216536,电信科23-2班,85,63,21,40,C+
徐明,522723XXXXXXXX6597,2023216537,经济23-1班,67,40,20,68,A+
乔畅,532924XXXXXXXX6835,2023216538,土木工程23-1班,66,55,55,89,C
张秀梅,130929XXXXXXXX7609,2023216539,电信科23-3班,85,27,41,43,C
姚龙,440785XXXXXXXX2938,2023216540,电信科23-1班,67,77,32,37,D
钱玉英,211300XXXXXXXX8402,2023216541,土木工程23-1班,62,62,58,87,B-
梁倩,150428XXXXXXXX3268,2023216542,城市地下空间23-1班,47,51,74,94,E
贺秀云,430300XXXXXXXX3214,2023216543,食品23-2班,63,50,31,60,C
杨博,361022XXXXXXXX4983,2023216544,法学23-3班,51,66,43,89,C-
戴勇,610602XXXXXXXX9043,2023216545,土木工程23-3班,98,87,74,92,B+
袁丹,320116XXXXXXXX2275,2023216546,自动化23-2班,97,75,32,61,A-
秦小红,330825XXXXXXXX7679,2023216547,食品23-2班,92,69,83,93,A
陈婷,510700XXXXXXXX4611,2023216548,新能源23-2班,94,34,68,66,E
田东,451422XXXXXXXX5155,2023216549,食品23-2班,49,81,90,96,C
沈帅,513334XXXXXXXX5940,2023216550,经济23-3班,51,64,53,72,D+
杨淑英,150581XXXXXXXX4859,2023216551,经济23-1班,81,32,64,45,C+
常玉兰,211221XXXXXXXX6599,2023216552,英语23-3班,50,77,19,59,B-
杨桂香,441821XXXXXXXX4525,2023216553,电信科23-1班,65,56,25,60,B
邢艳,610403XXXXXXXX2647,2023216554,新能源23-3班,87,75,52,79,C+
林帆,350124XXXXXXXX0844,2023216555,新能源23-2班,89,38,67,55,B+
李平,321322XXXXXXXX0058,2023216556,广告23-3班,61,100,46,95,B+
李文,540233XXXXXXXX1199,2023216557,化工23-3班,82,97,49,72,D-
陈健,610404XXXXXXXX0469,2023216558,机械工程23-2班,92,94,58,85,B+
盛颖,371728XXXXXXXX4155,2023216559,物流管理23-1班,82,74,99,83,B+
李琴,440103XXXXXXXX9295,2023216560,土木工程23-1班,68,28,29,99,B
周飞,230781XXXXXXXX674X,2023216561,电信科23-3班,88,73,28,41,A-
李欢,341201XXXXXXXX6020,2023216562,物流管理23-3班,93,58,30,55,B
杨强,654224XXXXXXXX9126,2023216563,计算机23-3班,75,97,87,37,C
苟桂珍,652826XXXXXXXX2005,2023216564,计算机23-3班,67,44,45,86,B+
吴鑫,411403XXXXXXXX4603,2023216565,法学23-3班,63,98,66,57,C
张秀珍,371300XXXXXXXX9830,2023216566,化工23-2班,57,25,56,42,C+
钟超,350526XXXXXXXX8832,2023216567,自动化23-1班,46,69,46,64,C-
文凤英,370634XXXXXXXX1283,2023216568,法学23-3班,55,38,58,36,D+
赖俊,420101XXXXXXXX8575,2023216569,土木工程23-2班,65,31,41,56,B+
尤梅,330824XXXXXXXX1595,2023216570,计算机23-2班,96,71,71,89,D+
陈莉,152224XXXXXXXX841X,2023216571,新媒体23-1班,59,58,79,43,B
伊桂花,320602XXXXXXXX8125,2023216572,食品23-1班,78,50,48,48,C+
赵林,430725XXXXXXXX1696,2023216573,英语23-2班,89,32,85,84,C
费文,610800XXXXXXXX2655,2023216574,广告23-2班,57,77,42,87,E
倪建平,421201XXXXXXXX5870,2023216575,城市地下空间23-2班,50,32,40,57,C+
刘秀梅,330100XXXXXXXX0444,2023216576,化工23-1班,50,86,71,92,A+
程丽娟,140922XXXXXXXX6242,2023216577,广告23-2班,48,83,36,36,E
吴明,440902XXXXXXXX7974,2023216578,环境23-1班,82,43,20,56,D
崔莉,620901XXXXXXXX0636,2023216579,机械工程23-1班,45,69,98,36,A
张丹,340321XXXXXXXX1027,2023216580,新媒体23-2班,74,97,98,72,A
刘文,371121XXXXXXXX0840,2023216581,英语23-3班,84,85,98,88,D-
陈帆,632523XXXXXXXX263X,2023216582,经济23-1班,45,75,82,81,B-
杜兰英,532925XXXXXXXX3580,2023216583,城市地下空间23-1班,79,36,34,60,A-
雷刚,532601XXXXXXXX1715,2023216584,机械工程23-3班,90,31,97,45,A+
李丽娟,330802XXXXXXXX6246,2023216585,物流管理23-2班,53,90,22,51,A+
张健,430602XXXXXXXX7597,2023216586,自动化23-2班,68,47,78,68,B
智云,420106XXXXXXXX8923,2023216587,电信科23-2班,81,59,21,76,A+
徐秀芳,510683XXXXXXXX4083,2023216588,法学23-2班,69,64,96,86,D-
蔡志强,542522XXXXXXXX7823,2023216589,新媒体23-1班,55,51,93,87,C
陈桂芝,230400XXXXXXXX9351,2023216590,计算机23-3班,53,71,44,79,A
孟红梅,520121XXXXXXXX6744,2023216591,英语23-2班,95,26,62,44,A+
滕桂英,131023XXXXXXXX6925,2023216592,食品23-1班,70,83,87,77,A-
刘婷婷,231000XXXXXXXX2887,2023216593,自动化23-1班,91,43,56,39,B-
刘艳,360122XXXXXXXX9546,2023216594,食品23-1班,55,99,71,100,C+
唐桂珍,150300XXXXXXXX1277,2023216595,新能源23-3班,50,33,92,72,B+
张洋,510724XXXXXXXX2500,2023216596,新媒体23-2班,83,51,24,63,A
田凤兰,450881XXXXXXXX1129,2023216597,广告23-2班,78,81,23,49,B+
曲雷,320105XXXXXXXX5046,2023216598,化工23-2班,75,61,51,85,D-
陈岩,540224XXXXXXXX4885,2023216599,机械工程23-2班,81,42,89,73,A+
王桂香,350105XXXXXXXX6908,2023216600,食品23-1班,47,59,25,84,C+
陈淑兰,430981XXXXXXXX6820,2023216601,计算机23-1班,58,47,18,94,A+
何桂荣,511703XXXXXXXX2887,2023216602,广告23-3班,94,91,79,45,B
鞠建,320482XXXXXXXX0173,2023216603,自动化23-2班,81,66,82,100,B-
赵莉,210302XXXXXXXX5806,2023216604,自动化23-1班,77,28,72,87,A+
魏萍,450311XXXXXXXX2919,2023216605,机械工程23-2班,81,63,24,90,C+
孙建军,350923XXXXXXXX4028,2023216606,物流管理23-1班,52,91,89,37,E
梁凤兰,210202XXXXXXXX9488,2023216607,新能源23-3班,60,32,94,82,A-
左杨,441324XXXXXXXX5890,2023216608,电信科23-1班,82,36,76,41,A
王秀兰,430500XXXXXXXX6037,2023216609,土木工程23-3班,83,30,30,73,C
蔡红,522730XXXXXXXX378X,2023216610,环境23-3班,63,43,96,61,C-
赵玉兰,320707XXXXXXXX0590,2023216611,机械工程23-2班,92,30,62,40,A+
夏淑珍,150105XXXXXXXX2178,2023216612,城市地下空间23-1班,76,26,44,94,D+
陈桂香,411724XXXXXXXX0195,2023216613,英语23-1班,83,51,17,67,C+
蔡凤英,652822XXXXXXXX7903,2023216614,英语23-1班,53,45,38,36,C+
黎桂芝,520622XXXXXXXX3270,2023216615,经济23-3班,55,86,42,38,C-
张丽丽,511521XXXXXXXX9047,2023216616,英语23-3班,94,58,53,35,B+
陈波,510502XXXXXXXX4157,2023216617,城市地下空间23-1班,87,56,52,60,C
赵萍,350100XXXXXXXX7179,2023216618,新能源23-3班,74,75,31,68,A+
白亮,340825XXXXXXXX589X,2023216619,物流管理23-2班,85,61,88,68,B-
魏建华,511500XXXXXXXX1695,2023216620,环境23-3班,88,50,37,68,B
李岩,530124XXXXXXXX5025,2023216621,城市地下空间23-3班,79,38,85,59,B-
龙秀英,211404XXXXXXXX784X,2023216622,食品23-1班,70,31,49,65,D-
冯阳,150205XXXXXXXX8322,2023216623,环境23-3班,49,80,15,67,D
张琴,320501XXXXXXXX6383,2023216624,物流管理23-2班,92,94,58,95,D-
李敏,610631XXXXXXXX1393,2023216625,物流管理23-1班,91,75,26,91,B
王建华,632221XXXXXXXX9898,2023216626,英语23-3班,51,60,43,83,D-
马涛,360601XXXXXXXX499X,2023216627,城市地下空间23-2班,90,29,76,70,A+
谢磊,652700XXXXXXXX8345,2023216628,自动化23-1班,59,33,81,73,A
薛峰,421281XXXXXXXX6264,2023216629,土木工程23-1班,72,80,51,87,E
鞠桂芝,410327XXXXXXXX5067,2023216630,化工23-2班,74,59,66,39,D
邓秀珍,610328XXXXXXXX3056,2023216631,化工23-2班,54,99,83,44,C-
蒲静,320703XXXXXXXX7112,2023216632,电信科23-3班,67,95,53,74,A
程荣,370782XXXXXXXX9456,2023216633,环境23-3班,88,49,95,51,A-
侯淑英,210804XXXXXXXX4239,2023216634,电信科23-2班,95,89,81,92,E
宁浩,411002XXXXXXXX7144,2023216635,广告23-3班,81,33,23,68,C
穆春梅,652926XXXXXXXX5814,2023216636,环境23-1班,79,28,19,78,B-
程瑜,420111XXXXXXXX733X,2023216637,法学23-2班,95,81,56,63,A
张刚,320482XXXXXXXX8418,2023216638,新媒体23-3班,59,40,59,93,D+
吴荣,530128XXXXXXXX4799,2023216639,新能源23-3班,68,44,40,83,B
谢凯,610102XXXXXXXX066X,2023216640,化工23-3班,99,68,24,90,C-
邓秀云,130633XXXXXXXX5435,2023216641,新媒体23-3班,88,83,86,56,A-
邹淑兰,610901XXXXXXXX3714,2023216642,物流管理23-2班,60,32,94,73,D+
陈玲,511724XXXXXXXX1683,2023216643,电信科23-3班,53,25,30,44,B
陈楠,360502XXXXXXXX6185,2023216644,城市地下空间23-2班,46,46,80,100,A-
姜莉,652900XXXXXXXX1023,2023216645,环境23-2班,74,87,46,58,A-
王琳,130425XXXXXXXX8174,2023216646,英语23-2班,47,60,74,73,B
马飞,451023XXXXXXXX8906,2023216647,自动化23-1班,54,75,58,86,E
郑秀芳,130129XXXXXXXX734X,2023216648,经济23-1班,53,28,48,64,A-
杨秀芳,532924XXXXXXXX5730,2023216649,法学23-2班,81,58,26,90,D+
解桂英,330185XXXXXXXX1215,2023216650,广告23-1班,90,73,50,69,B+
刘金凤,650104XXXXXXXX6702,2023216651,物流管理23-1班,65,49,36,92,C
张琴,371301XXXXXXXX4962,2023216652,机械工程23-2班,46,39,73,54,B
吴萍,350921XXXXXXXX389X,2023216653,物流管理23-1班,77,53,97,86,A-
王东,410803XXXXXXXX6122,2023216654,计算机23-3班,88,68,23,38,B+
黄楠,140481XXXXXXXX1690,2023216655,机械工程23-2班,89,74,38,48,C+
张秀兰,460201XXXXXXXX2704,2023216656,食品23-3班,70,32,47,97,A-
阙红,140921XXXXXXXX459X,2023216657,土木工程23-3班,51,44,91,63,C
穆玉珍,653001XXXXXXXX4949,2023216658,化工23-3班,90,50,91,83,A+
刘平,610481XXXXXXXX6655,2023216659,经济23-3班,67,76,73,62,A-
张玉华,320583XXXXXXXX2343,2023216660,环境23-2班,98,95,63,51,C+
吴桂花,450406XXXXXXXX8180,2023216661,新能源23-3班,48,41,60,45,D+
许平,360500XXXXXXXX4343,2023216662,土木工程23-1班,60,79,19,37,B+
潘龙,511424XXXXXXXX2171,2023216663,机械工程23-1班,88,38,89,90,B-
刘敏,370613XXXXXXXX2619,2023216664,法学23-1班,90,65,84,46,D-
沈帅,330304XXXXXXXX6523,2023216665,电信科23-1班,49,25,36,35,E
王强,110200XXXXXXXX2539,2023216666,食品23-1班,97,30,50,98,A+
孙楠,511901XXXXXXXX8555,2023216667,自动化23-2班,71,86,89,80,B
房东,150401XXXXXXXX109X,2023216668,广告23-3班,94,64,16,89,E
刘涛,611021XXXXXXXX5668,2023216669,法学23-2班,99,69,56,36,B-
陈秀兰,210600XXXXXXXX801X,2023216670,新能源23-2班,94,42,44,82,A
